part_number,quantity,material,procured_stock,length_mm,thickness_mm,bounds_local_mm,individual_export_guarded,status,notes
MF_LEG_1_1,1,steel,steel,949.2,,"[0.0, 0.0, 0.0, 50.8, 50.8, 949.2]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"50.8 x 50.8 x 3.048 mm nominal hollow tube; square-corner idealization | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Sandserviceport:Ø30weldbung,M20×1.5removableplug. Fillonlyafterallwelding/coating;weightactualdryballast."
MF_LEG_1_2,1,steel,steel,949.2,,"[0.0, 0.0, 0.0, 50.8, 50.8, 949.2]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"50.8 x 50.8 x 3.048 mm nominal hollow tube; square-corner idealization | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Sandserviceport:Ø30weldbung,M20×1.5removableplug. Fillonlyafterallwelding/coating;weightactualdryballast."
MF_LEG_1_3,1,steel,steel,949.2,,"[0.0, 0.0, 0.0, 50.8, 50.8, 949.2]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"50.8 x 50.8 x 3.048 mm nominal hollow tube; square-corner idealization | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Sandserviceport:Ø30weldbung,M20×1.5removableplug. Fillonlyafterallwelding/coating;weightactualdryballast."
MF_TOP_Y_1,1,steel,steel,1450.0,,"[0.0, 0.0, 0.0, 50.8, 1450.0, 50.8]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"50.8 x 50.8 x 3.048 mm nominal hollow tube; square-corner idealization | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Sandserviceport:Ø30weldbung,M20×1.5removableplug. Fillonlyafterallwelding/coating;weightactualdryballast."
MF_LOWER_SIDE_1_1,1,steel,steel,648.8,,"[0.0, 0.0, 0.0, 50.8, 648.8, 50.8]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"50.8 x 50.8 x 3.048 mm nominal hollow tube; square-corner idealization | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Sandserviceport:Ø30weldbung,M20×1.5removableplug. Fillonlyafterallwelding/coating;weightactualdryballast."
MF_LOWER_SIDE_1_2,1,steel,steel,648.7999999999998,,"[0.0, 0.0, 0.0, 50.8, 648.8, 50.8]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"50.8 x 50.8 x 3.048 mm nominal hollow tube; square-corner idealization | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Sandserviceport:Ø30weldbung,M20×1.5removableplug. Fillonlyafterallwelding/coating;weightactualdryballast."
RAIL_CAP_1_BLANK,1,steel,steel,,,"[0.0, 0.0, 0.0, 100.0, 1450.0, 7.9375]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"1450 x 100 x 7.9375 mm blank; 5/16-inch US-stock adaptation | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Raised6mm:underside1056/top1063.9375;continuousmachinedspacerunderrailcap. | Y stop/switch bracket: Ø6.6 holes at X66.5/1083.5, Y90/140/1410/1442; within inboard cap overhang, clear of spacer. | Y stop/switch bracket: Ø6.6 holes at X66.5/1083.5, Y90/140/1410/1442; within inboard cap overhang, clear of spacer. | Y stop/switch bracket: Ø6.6 holes at X66.5/1083.5, Y90/140/1410/1442; within inboard cap overhang, clear of spacer. | Y stop/switch bracket: Ø6.6 holes at X66.5/1083.5, Y90/140/1410/1442; within inboard cap overhang, clear of spacer."
MF_LEG_2_1,1,steel,steel,949.2,,"[0.0, 0.0, 0.0, 50.8, 50.8, 949.2]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"50.8 x 50.8 x 3.048 mm nominal hollow tube; square-corner idealization | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Sandserviceport:Ø30weldbung,M20×1.5removableplug. Fillonlyafterallwelding/coating;weightactualdryballast."
MF_LEG_2_2,1,steel,steel,949.2,,"[0.0, 0.0, 0.0, 50.8, 50.8, 949.2]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"50.8 x 50.8 x 3.048 mm nominal hollow tube; square-corner idealization | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Sandserviceport:Ø30weldbung,M20×1.5removableplug. Fillonlyafterallwelding/coating;weightactualdryballast."
MF_LEG_2_3,1,steel,steel,949.2,,"[0.0, 0.0, 0.0, 50.8, 50.8, 949.2]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"50.8 x 50.8 x 3.048 mm nominal hollow tube; square-corner idealization | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Sandserviceport:Ø30weldbung,M20×1.5removableplug. Fillonlyafterallwelding/coating;weightactualdryballast."
MF_TOP_Y_2,1,steel,steel,1450.0,,"[0.0, 0.0, 0.0, 50.8, 1450.0, 50.8]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"50.8 x 50.8 x 3.048 mm nominal hollow tube; square-corner idealization | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Sandserviceport:Ø30weldbung,M20×1.5removableplug. Fillonlyafterallwelding/coating;weightactualdryballast."
MF_LOWER_SIDE_2_1,1,steel,steel,648.8,,"[0.0, 0.0, 0.0, 50.8, 648.8, 50.8]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"50.8 x 50.8 x 3.048 mm nominal hollow tube; square-corner idealization | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Sandserviceport:Ø30weldbung,M20×1.5removableplug. Fillonlyafterallwelding/coating;weightactualdryballast."
MF_LOWER_SIDE_2_2,1,steel,steel,648.7999999999998,,"[0.0, 0.0, 0.0, 50.8, 648.8, 50.8]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"50.8 x 50.8 x 3.048 mm nominal hollow tube; square-corner idealization | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Sandserviceport:Ø30weldbung,M20×1.5removableplug. Fillonlyafterallwelding/coating;weightactualdryballast."
RAIL_CAP_2_BLANK,1,steel,steel,,,"[0.0, 0.0, 0.0, 100.0, 1450.0, 7.9375]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"1450 x 100 x 7.9375 mm blank; 5/16-inch US-stock adaptation | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Raised6mm:underside1056/top1063.9375;continuousmachinedspacerunderrailcap. | Y stop/switch bracket: Ø6.6 holes at X66.5/1083.5, Y90/140/1410/1442; within inboard cap overhang, clear of spacer. | Y stop/switch bracket: Ø6.6 holes at X66.5/1083.5, Y90/140/1410/1442; within inboard cap overhang, clear of spacer. | Y stop/switch bracket: Ø6.6 holes at X66.5/1083.5, Y90/140/1410/1442; within inboard cap overhang, clear of spacer. | Y stop/switch bracket: Ø6.6 holes at X66.5/1083.5, Y90/140/1410/1442; within inboard cap overhang, clear of spacer."
MF_END_FRONT_LOW,1,steel,steel,1048.4,,"[0.0, 0.0, 0.0, 1048.4, 50.8, 50.8]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"50.8 x 50.8 x 3.048 mm nominal hollow tube; square-corner idealization | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Sandserviceport:Ø30weldbung,M20×1.5removableplug. Fillonlyafterallwelding/coating;weightactualdryballast."
MF_END_REAR_LOW,1,steel,steel,1048.4,,"[0.0, 0.0, 0.0, 1048.4, 50.8, 50.8]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"50.8 x 50.8 x 3.048 mm nominal hollow tube; square-corner idealization | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Sandserviceport:Ø30weldbung,M20×1.5removableplug. Fillonlyafterallwelding/coating;weightactualdryballast."
MF_END_FRONT_UPPER,1,steel,steel,1048.4,,"[0.0, 0.0, 0.0, 1048.4, 50.8, 50.8]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"50.8 x 50.8 x 3.048 mm nominal hollow tube; square-corner idealization | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Sandserviceport:Ø30weldbung,M20×1.5removableplug. Fillonlyafterallwelding/coating;weightactualdryballast."
MF_END_REAR_UPPER,1,steel,steel,1048.4,,"[0.0, 0.0, 0.0, 1048.4, 50.8, 50.8]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"50.8 x 50.8 x 3.048 mm nominal hollow tube; square-corner idealization | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Sandserviceport:Ø30weldbung,M20×1.5removableplug. Fillonlyafterallwelding/coating;weightactualdryballast."
MF_RECEIVER_LEDGER_1,1,steel,steel,1450.0,,"[0.0, 0.0, 0.0, 50.8, 1450.0, 50.8]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"50.8 x 50.8 x 3.048 mm nominal hollow tube; square-corner idealization | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Sandserviceport:Ø30weldbung,M20×1.5removableplug. Fillonlyafterallwelding/coating;weightactualdryballast. | Front removable seat: two OD18 compression/thread sleeves at global X88.0, Y45/85; bores through both walls. Weld sleeves before ballast; finish top flush Z840. Do not drill a sand-filled member."
MF_RECEIVER_LEDGER_2,1,steel,steel,1450.0,,"[0.0, 0.0, 0.0, 50.8, 1450.0, 50.8]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"50.8 x 50.8 x 3.048 mm nominal hollow tube; square-corner idealization | Welded structure: nominal square tube corners; stock corner radii are not precision mating datums. | Sandserviceport:Ø30weldbung,M20×1.5removableplug. Fillonlyafterallwelding/coating;weightactualdryballast. | Front removable seat: two OD18 compression/thread sleeves at global X1062.0, Y45/85; bores through both walls. Weld sleeves before ballast; finish top flush Z840. Do not drill a sand-filled member."
CAP_SPACER,2,A36 steel,A36 steel; finish-machine6.000mmfrom1/4in6.35mmstock,,6,"[0.0, 0.0, 0.0, 50.8, 1450.0, 6.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Finish-machine6mmfrom1/4instock;capfastenerpatterncoordinatedwithmotionmodule.
FT_PAD,6,A36steel1/2in,A36steel1/2in,,12.7,"[0.0, 0.0, 0.0, 80.0, 80.0, 12.7]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,MilltopØ32×2deepjack-headseat. FourØ9optionalanchorholes;flooranchorchoiceis site-specific.
FT_LEG_CLOSURE,6,A36 steel,A36 steel; finish-machine6.000mmfrom1/4in6.35mmstock,,6,"[0.0, 0.0, 0.0, 50.8, 50.8, 6.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,WeldM16nutaboveclosurebeforeclosingleg. Continuous3mmfilletclosure-to-leg.
STD_M16_NUT,12,M16grade8nut24AF×13,M16grade8nut24AF×13,,,"[-13.8564, -12.0, 0.0, 13.8564, 12.0, 13.0]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,
STD_M16x100_HEX,6,M16x100fullythreadedclass8.8,M16x100fullythreadedclass8.8,,,"[-13.8564, -12.0, 0.0, 13.8564, 12.0, 110.0]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,Jackheadrestsrecessedonthefloorpad.±8mmlevelingrange;retightenjamnutandrecheckthreadengagement. No casters.
FB_SIDE_L_1,1,A5001x1x.083tube,A5001x1x.083tube,912.9940196956386,,"[0.0, 0.0, -0.0, 25.4, 617.9739, 705.8589]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Square-endnominalbrace;25.4×25.4×2.1082section. Weldinnerfaceto3mmgussets,3mmfilletsminimum50mmaccessibleedges."
FB_TRIANGLE_160_1,4,A36 steel,A36 steel,,3,"[0.0, 0.0, 0.0, 160.0, 160.0, 3.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,160mmlegsprovide>50mmbraceoverlap;3mmcontinuousfilletwheregussetoverlapsleg/rail.
FB_TRIANGLE_160_-1,4,A36 steel,A36 steel,,3,"[-160.0, -160.0, 0.0, 0.0, 0.0, 3.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,160mmlegsprovide>50mmbraceoverlap;3mmcontinuousfilletwheregussetoverlapsleg/rail.
FB_SIDE_L_2,1,A5001x1x.083tube,A5001x1x.083tube,912.9940196956386,,"[0.0, -0.0, -0.0, 25.4, 617.9739, 705.8589]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Square-endnominalbrace;25.4×25.4×2.1082section. Weldinnerfaceto3mmgussets,3mmfilletsminimum50mmaccessibleedges."
FB_SIDE_R_1,1,A5001x1x.083tube,A5001x1x.083tube,912.9940196956386,,"[0.0, 0.0, -0.0, 25.4, 617.9739, 705.8589]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Square-endnominalbrace;25.4×25.4×2.1082section. Weldinnerfaceto3mmgussets,3mmfilletsminimum50mmaccessibleedges."
FB_SIDE_R_2,1,A5001x1x.083tube,A5001x1x.083tube,912.9940196956386,,"[0.0, -0.0, -0.0, 25.4, 617.9739, 705.8589]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Square-endnominalbrace;25.4×25.4×2.1082section. Weldinnerfaceto3mmgussets,3mmfilletsminimum50mmaccessibleedges."
FB_REAR,1,A5001x1x.083tube,A5001x1x.083tube,1213.177315976523,,"[0.0, 0.0, 0.0, 1012.8296, 25.4, 710.1033]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"ReardiagonalinsideframeatY1370.8..1396.2,clearofreservoir."
FB_REAR_GUSSET_LOW,1,A36 steel,A36 steel,,3,"[0.0, 0.0, 0.0, 160.0, 160.0, 3.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Lowergussetnotches25.4×30.8aroundexistinglowersiderail.
