part_number,quantity,material,procured_stock,length_mm,thickness_mm,bounds_local_mm,individual_export_guarded,status,notes
LOC_PIN_BLOCK_60_40_12_CB_M6,2,"Machined steel, certified yield >=250 MPa","Machined steel, certified yield >=250 MPa; finish-machine12.000mmfrom1/2in12.7mmstock",,12,"[0.0, 0.0, 0.0, 60.0, 40.0, 12.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Support entire block on rigid grid; four M6 mounting screws. Two Ø4 in-situ dowels transfer lateral load to grid. | Four Ø11 counterbores6deep accept flush M6 socket heads. Grid thickness/thread attachment must be specified by integrator. | Pair-bore the central shank seat for 0.010–0.015 mm measured diametral interference; CAD Ø6 is nominal only. | Press pin shoulder against top face. Do not weld or coat fitted bores. Recheck clocking and fit after pressing.
DIN6321-10-18-B,1,Hardened ground steel,Hardened ground steel,,,"[-4.9953, -4.9953, -9.0, 4.9953, 4.9953, 18.0]",True,SUPPLIER INTERFACE ENVELOPE; VERIFY CURRENT DRAWING AND DELIVERED PART,JW Winco DIN 6321-10-18-B / -C | Published diameter/taper/shank envelope; root relief and centre holes omitted. | Round pin fixes two lateral axes.
LOC_RECEIVER_60_40_12_TAP_M5,2,"Machined steel, certified yield >=250 MPa","Machined steel, certified yield >=250 MPa; finish-machine12.000mmfrom1/2in12.7mmstock",,12,"[0.0, 0.0, 0.0, 60.0, 40.0, 12.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Four top-entry M5 screws plus two in-situ Ø4 dowels attach to a metal carrier lug; clearance bolts alone are not a datum. | M5x0.8 tapped THRU; minorØ4.2 envelope, helicalthreads omitted. Limit installedscrewpenetration to10.5mm so ends remain inside12mm receiver, above fixedblock. M5x16 through6.35mm wing penetrates9.65mm beforewasher allowance. | Press-in bushing is replaceable using an arbor press; receiver remains a separately removable service cartridge. | Match bore to delivered bushing for .010–.020 mm diametral interference. Measure installed bore and verify 10F7 remains valid. | Replacement/disturbance of cartridge or pin requires requalification and new WCS check. No tight bush directly in HDPE."
DIN179-B10-12-A-NI,2,Hardened stainless drill bushing,Hardened stainless drill bushing,,,"[-7.5, -7.5, 0.0, 7.5, 7.5, 12.0]",True,SUPPLIER INTERFACE ENVELOPE; VERIFY INSTALLED FIT,JW Winco DIN 179-B10-12-A-NI | OD15 n6; ID10 F7; length12. Nominal edge breaks omitted. Installed bore must be gauged after press fit.
DIN6321-10-18-C,1,Hardened ground steel,Hardened ground steel,,,"[-4.4072, -4.1924, -9.0, 4.4072, 4.1924, 18.0]",True,SUPPLIER INTERFACE ENVELOPE; VERIFY CURRENT DRAWING AND DELIVERED PART,JW Winco DIN 6321-10-18-B / -C | Published diameter/taper/shank envelope; root relief and centre holes omitted. | Diamond non-contact relief is schematic. Require measured >=0.20 mm free travel along pin-pair line at full insertion; do not fabricate from this purchased envelope.
LOC_Z_PRIMARY,3,"Machined steel, certified yield >=250 MPa","Machined steel, certified yield >=250 MPa",,14,"[0.0, 0.0, 0.0, 40.0, 40.0, 14.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"M6 central tapped hole, Ø5 minor envelope; thread engagement11.4mm. | Three primary hard seats establish Z/pitch/roll. Machine installed bearing faces coplanar within0.02mm. | Two M8 counterbored grid mounts; chassis mating attachment must be integrated."
LOC_CARRIER_LAND_40_40_12,4,"Machined steel, certified yield >=250 MPa","Machined steel, certified yield >=250 MPa; finish-machine12.000mmfrom1/2in12.7mmstock",,12,"[0.0, 0.0, 0.0, 40.0, 40.0, 12.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Attach to metal frame with direct bearing beneath frame rail; keep weld distortion out of machined bottom face. | 12x9 clearance slot is NOT a locator. Thermal travel minimum1.5mm transverse to slot at M6 shank. | Clamps load only metal. Set600–900N verified preload per station; do not infer torque from dry generic charts.
WASHER_M6_OD18_T1.6,4,Steel,Steel,,,"[-9.0, -9.0, 0.0, 9.0, 9.0, 1.6]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,
ISO4762_M6x25,4,Steel class8.8 minimum,Steel class8.8 minimum,,,"[-5.0, -5.0, 0.0, 5.0, 5.0, 31.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Nominal thread/head envelope; shank25 below head.600–900N verified clamp preload. Tool access must be reserved above this bolt.
LOC_Z_SUPPLEMENTARY,1,"Machined steel, certified yield >=250 MPa","Machined steel, certified yield >=250 MPa",,13.5,"[0.0, 0.0, 0.0, 40.0, 40.0, 13.5]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"M6 central tapped hole model uses Ø5 minor bore; engagement11.4 mm. Threads omitted. | Two M8 counterbored grid mounting holes; rigid attachment beneath this block must be designed in integrating chassis. | Machine three primary top bearing lands coplanar within0.02mm after fixture installation; strip paint from contact. | Fourth station is a fitted .50mm nominal shim stack: fit with three primary seats loaded, then lock. Do not jack carrier off its datums."
LOC_FITTED_SHIM_NOMINAL_050,1,Precision steel shim,Precision steel shim,,0.5,"[0.0, 0.0, 0.0, 40.0, 40.0, 0.5]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Shown .50mm is nominal; actual stack is fitted after three-seat setup.
