part_number,quantity,material,procured_stock,length_mm,thickness_mm,bounds_local_mm,individual_export_guarded,status,notes
SATC_PIN_BLOCK_CB11_60_40_12,2,"Machined steel, certified yield >=250 MPa","Machined steel, certified yield >=250 MPa; finish-machine12.000mmfrom1/2in12.7mmstock",,12,"[0.0, 0.0, 0.0, 60.0, 40.0, 12.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Support entire block on rigid grid; four M6 mounting screws. Two Ø4 in-situ dowels transfer lateral load to grid. | Four Ø11 counterbores6deep accept flush M6 socket heads. Grid thickness/thread attachment must be specified by integrator. | Pair-bore the central shank seat for 0.010–0.015 mm measured diametral interference; CAD Ø6 is nominal only. | Press pin shoulder against top face. Do not weld or coat fitted bores. Recheck clocking and fit after pressing. | ATC integration: counterbore four M6 mounts Ø11 depth6 from top; heads flush below receiver.
DIN6321-10-18-B,1,Hardened ground steel,Hardened ground steel,,,"[-4.9953, -4.9953, -9.0, 4.9953, 4.9953, 18.0]",True,SUPPLIER INTERFACE ENVELOPE; VERIFY CURRENT DRAWING AND DELIVERED PART,JW Winco DIN 6321-10-18-B / -C | Published diameter/taper/shank envelope; root relief and centre holes omitted. | Round pin fixes two lateral axes.
SATC_RECEIVER_M5_TAPPED_L,1,"Machined steel, certified yield >=250 MPa","Machined steel, certified yield >=250 MPa; finish-machine12.000mmfrom1/2in12.7mmstock",,12,"[0.0, 0.0, 0.0, 60.0, 40.0, 12.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"ATC-specific tapped receiver; four top-down M5x16 bolts through6.35mm carrier wing, nominal9.65mm thread engagement. | Two Ø4 dowels match-reamed through carrier and receiver; bushing fit and clocking requirements inherited from common interface."
DIN179-B10-12-A-NI,2,Hardened stainless drill bushing,Hardened stainless drill bushing,,,"[-7.5, -7.5, 0.0, 7.5, 7.5, 12.0]",True,SUPPLIER INTERFACE ENVELOPE; VERIFY INSTALLED FIT,JW Winco DIN 179-B10-12-A-NI | OD15 n6; ID10 F7; length12. Nominal edge breaks omitted. Installed bore must be gauged after press fit.
DIN6321-10-18-C,1,Hardened ground steel,Hardened ground steel,,,"[-3.0, -4.9953, -9.0, 3.0, 4.9953, 18.0]",True,SUPPLIER INTERFACE ENVELOPE; VERIFY CURRENT DRAWING AND DELIVERED PART,JW Winco DIN 6321-10-18-B / -C | Published diameter/taper/shank envelope; root relief and centre holes omitted. | Diamond non-contact relief is schematic. Require measured >=0.20 mm free travel along pin-pair line at full insertion; do not fabricate from this purchased envelope.
SATC_RECEIVER_M5_TAPPED_R,1,"Machined steel, certified yield >=250 MPa","Machined steel, certified yield >=250 MPa; finish-machine12.000mmfrom1/2in12.7mmstock",,12,"[0.0, 0.0, 0.0, 60.0, 40.0, 12.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"ATC-specific tapped receiver; four top-down M5x16 bolts through6.35mm carrier wing, nominal9.65mm thread engagement. | Two Ø4 dowels match-reamed through carrier and receiver; bushing fit and clocking requirements inherited from common interface."
SATC_FRAME_SEAT_L,1,A36 steel,A36 steel,,,"[50.8, 1120.0, 957.65, 120.0, 1190.0, 1010.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"6.35mm fabricated steel angle seat; vertical leg welds to clean inside face of chassis top tube. | No frame drilling or source modification applied. Weld size/sequence, salvage material and distortion require qualification before retrofit. | Locate after rail alignment; machine seat tops to common964mm datum. Actual weld fillets not represented."
SATC_M6x20_CAP_MAXENV,12,A36 steel,A36 steel,,,"[-5.25, -5.25, 0.0, 5.25, 5.25, 26.0]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,
SATC_WASHER_M6_OD12,12,A36 steel,A36 steel,,,"[-6.0, -6.0, 0.0, 6.0, 6.0, 1.6]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,
SATC_NUT_M6_AF10_H5,8,A36 steel,A36 steel,,,"[-5.7735, -5.0, 0.0, 5.7735, 5.0, 5.0]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,
SATC_ISO7380_M5x16_BUTTON_MAXENV,8,A36 steel,A36 steel,,,"[-4.75, -4.75, 0.0, 4.75, 4.75, 18.75]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,"ISO7380-1 M5 envelope: head diameter9.5 maximum, height2.75 maximum. Domed head conservatively modeled as full cylinder. | Source: https://shop.hpceurope.com/pdf/gbPDFauto/BHC.pdf . Low head required for20mm unseat below continuous Y rail."
