part_number,quantity,material,procured_stock,length_mm,thickness_mm,bounds_local_mm,individual_export_guarded,status,notes
I_HEAD_BACKPLATE,1,6061-T6 aluminium 3/8 in,6061-T6 aluminium 3/8 in,,9.525,"[0.0, 0.0, 0.0, 110.0, 130.0, 9.525]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Four M6x1 tapped holes on custom 90 x 26 mm tool-side pattern. Minor diameter5 modeled; tap through. | This plate bolts to Rev H custom adapter from its rear. It does not establish the purchased Z output fixing pattern. | Rod and stop tapped coordinates are defined in the local STEP. Crossbars are matched and jig-bored.
I_HEAD_CROSSBAR_1,1,6061-T6 aluminium,6061-T6 aluminium,,,"[0.0, -0.0, 0.0, 110.0, 12.0, 25.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Ø8 H7 matched rod sockets depth6; nominal geometry shown. Ø4.5 coaxial end-screw access. | Two Ø4.5 front mounting holes. M4x30 screws engage5mm into tapped backplate. Jig bore both rod centers together.
I_STD_M4x30_z_SOCKET,4,"Steel ISO4762 socket screw, nominal thread envelope","Steel ISO4762 socket screw, nominal thread envelope",,,"[-3.5, -3.5, 0.0, 3.5, 3.5, 34.0]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,Specified unknurled socket heads: M3 diameter5.5/height3; M4 diameter7/height4. Enlarged knurled heads require new clearance check. | https://www.accu.co.uk/api/product-datasheet?id=151797
I_HEAD_CROSSBAR_2,1,6061-T6 aluminium,6061-T6 aluminium,,,"[0.0, -0.0, 0.0, 110.0, 12.0, 25.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Ø8 H7 matched rod sockets depth6; nominal geometry shown. Ø4.5 coaxial end-screw access. | Two Ø4.5 front mounting holes. M4x30 screws engage5mm into tapped backplate. Jig bore both rod centers together.
I_HEAD_ROD_8x118_M4_ENDS,2,Ground stainless shaft Ø8 h6,Ground stainless shaft Ø8 h6,,,"[-4.0, -0.0, -4.0, 4.0, 118.0, 4.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Finish length118.0; axial M4x0.7 blind tap each end, usable depth10, pilot12. Hardened stock requires machinable ends or ground shaft made to drawing."
I_STD_M4x16_y_SOCKET,4,"Steel ISO4762 socket screw, nominal thread envelope","Steel ISO4762 socket screw, nominal thread envelope",,,"[-3.5, -0.0, -3.5, 3.5, 20.0, 3.5]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,Specified unknurled socket heads: M3 diameter5.5/height3; M4 diameter7/height4. Enlarged knurled heads require new clearance check. | https://www.accu.co.uk/api/product-datasheet?id=151797
I_HEAD_FLOAT_CARRIAGE,1,6061-T6 aluminium,6061-T6 aluminium,,,"[0.0, -0.0, -0.0, 110.0, 72.0, 22.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Two Ø15 slip-fit bearing housings. Bearing retention comes from bolted end caps, never crush-fit preload. | Internal pocket X43..67 / Y45..59 / Z11..27 captures the fixed8mm tall stop: metal lower/upper travel limits0 and6. | Ream housings and jig align with ground shafts. Verify gravity return over full travel after wiring/lead installation."
IGUS_RJ4JP_01_08,4,igus J4 polymer bearing,igus J4 polymer bearing,,,"[-7.5, -0.0, -7.5, 7.5, 24.0, 7.5]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,Manufacturer nominal ID8 / OD15 / length24. Internal clearance shown0.04; installed fit must be checked. | https://igus.partcommunity.com/3d-cad-models/rj4jp-01-linear-bearings-igus?info=igus%2Fdrylin_lineargleitlager%2Fr_runde_wellen_schnell_leise%2Frj4jp_01.prj
I_HEAD_BUSH_SPACER_23p85,2,Acetal bearing spacer,Acetal bearing spacer,,,"[-7.4, -0.0, -7.4, 7.4, 23.85, 7.4]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,OD14.8 / ID9 / length23.85. Combined nominal bushing/spacer stack71.85 leaves0.15mm axial clearance between caps72mm apart. Verify actual0.10..0.20mm clearance after assembly.
I_HEAD_BEARING_CAP_1,1,304 stainless 2mm,304 stainless 2mm,,2,"[0.0, 0.0, 0.0, 110.0, 22.0, 2.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,
I_STD_M3x8_y_SOCKET,8,"Steel ISO4762 socket screw, nominal thread envelope","Steel ISO4762 socket screw, nominal thread envelope",,,"[-2.75, 3.0, -2.75, 2.75, 14.0, 2.75]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,Specified unknurled socket heads: M3 diameter5.5/height3; M4 diameter7/height4. Enlarged knurled heads require new clearance check. | https://www.accu.co.uk/api/product-datasheet?id=642039
I_HEAD_BEARING_CAP_2,1,304 stainless 2mm,304 stainless 2mm,,2,"[0.0, 0.0, 0.0, 110.0, 22.0, 2.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,
I_HEAD_FLOAT_STOP,1,6061-T6 aluminium,6061-T6 aluminium,,,"[0.0, 0.0, 0.0, 20.0, 8.0, 15.475]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Rigid captured block controls both float travel ends; fit before carriage. No spring is needed to carry a falling head: the closed slot retains it. | Replaceable0.2mm stop shims may be fitted only with corresponding travel and probe offset recalibration. Nominal definition has no shim.
I_STD_M4x16_z_SOCKET,4,"Steel ISO4762 socket screw, nominal thread envelope","Steel ISO4762 socket screw, nominal thread envelope",,,"[-3.5, -3.5, 0.0, 3.5, 3.5, 20.0]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,Specified unknurled socket heads: M3 diameter5.5/height3; M4 diameter7/height4. Enlarged knurled heads require new clearance check. | https://www.accu.co.uk/api/product-datasheet?id=151797
I_HEAD_SEAT_CONE,1,Hardened steel contact insert,Hardened steel contact insert,,,"[-5.0, -5.0, -6.0, 5.0, 5.0, 6.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,M4x0.7 integral6mm spigot into float body; fixture-machine contact height after assembly. | Cone90deg / V90deg / flat establishes a six-constraint coupling. Harden/contact polish; inspect contact blue before force tests.
I_HEAD_BALL_BUTTON_R3,3,Hardened spherical steel contact R3,Hardened spherical steel contact R3,,,"[-3.0, -3.0, -3.0, 3.0, 3.0, 3.7574]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Custom R3 hemispherical contact, Ø3.8 shank; M3 internal fixing thread. All three identical."
I_HEAD_SEAT_V,1,Hardened steel contact insert,Hardened steel contact insert,,,"[-10.0, -6.0, -6.0, 10.0, 6.0, 6.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,M4x0.7 integral6mm spigot into float body; fixture-machine contact height after assembly. | Cone90deg / V90deg / flat establishes a six-constraint coupling. Harden/contact polish; inspect contact blue before force tests.
I_HEAD_SEAT_FLAT,1,Hardened steel contact insert,Hardened steel contact insert,,,"[-5.0, -5.0, -6.0, 5.0, 5.0, 3.2426]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,M4x0.7 integral6mm spigot into float body; fixture-machine contact height after assembly. | Cone90deg / V90deg / flat establishes a six-constraint coupling. Harden/contact polish; inspect contact blue before force tests.
I_HEAD_RELEASE_PLATE,1,Low carbon steel 1/4in,Low carbon steel 1/4in,,6.35,"[0.0, 0.0, 0.0, 110.0, 97.0, 6.35]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Steel back face is the magnet target. Three kinematic locator buttons fasten from the front. | Keep mating face uncoated/flat; corrosion film and swarf change both retention and repeatability. Clean before seating.
I_STD_M3x7_z_SOCKET,3,"Steel ISO4762 socket screw, nominal thread envelope","Steel ISO4762 socket screw, nominal thread envelope",,,"[-2.75, -2.75, 0.0, 2.75, 2.75, 10.0]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,Specified unknurled socket heads: M3 diameter5.5/height3; M4 diameter7/height4. Enlarged knurled heads require new clearance check. | https://www.accu.co.uk/api/product-datasheet?id=642039
I_HEAD_MAGNET_SPACER_3p8,3,Aluminium,Aluminium,,,"[-10.25, -10.25, 0.0, 10.25, 10.25, 3.8]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"3.8 mm nominal spacer leaves0.2mm magnet-to-target gap. Force qualification requires actual gap, coating and measured lead load."
SUPERMAGNETE_CSN_20,3,Purchased N38 magnet in Q235 cup,Purchased N38 magnet in Q235 cup,,,"[-10.0, -10.0, 0.0, 10.0, 10.0, 6.0]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,"Manufacturer20x6mm, bore4.5 / countersink9.46x2.48;87.3N nominal direct steel pull,80C maximum. | https://www.supermagnete.de/eng/data_sheet_CSN-20.pdf | The catalog direct-contact pull is NOT the release force at this0.2mm gap. Set and record actual force after assembly."
